id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by providing both the response time and resolution time for P1 tickets.,5,Retrieved: 1/1 expected sources,5,"Model answer covers all key points from the expected answer, including both the initial response time and the resolution time.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question by stating the specific timeframe for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer fully covers all key points from the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",2,"The answer mentions Level 3 access and required approvals, which are not found in the retrieved context.",5,The answer directly and completely addresses the question by specifying who needs to approve Level 3 access.,5,Retrieved: 1/1 expected sources,5,Model answer covers all key points from the expected answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác. [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,3,The model answer mentions exceptions for manufacturer errors but does not clearly state that digital products are generally non-refundable.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,3,"The answer about account locking and unlocking is mostly grounded, but the specific details about the number of failed login attempts and the process to unlock are not found in the retrieved context.",5,The answer directly and completely addresses the question about account lockout after failed login attempts.,5,Retrieved: 1/1 expected sources,5,Model answer covers all key points from the expected answer and provides additional relevant information.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1, quy trình escalation diễn ra như sau: nếu không có phản hồi trong 10 phút kể từ khi ticket được tạo, ticket sẽ tự động được escalate lên Senior Engineer. Ngoài ra, thông báo cho stakeholder sẽ được thực hiện ngay khi nhận ticket và cập nhật mỗi 30 phút cho đến khi sự cố được giải quyết [3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,2,"The answer incorrectly states that escalation occurs after 10 minutes instead of the correct 15 minutes, and it introduces details about stakeholder notifications that are not mentioned in the retrieved context.",5,The answer directly and completely addresses the question about the escalation process in a P1 incident.,5,Retrieved: 1/1 expected sources,5,"Model answer covers all key points from the expected answer, including the automatic escalation to a Senior Engineer after 10 minutes without response.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Thông tin về Approval Matrix để cấp quyền hệ thống không có trong các tài liệu được cung cấp.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,The answer accurately states that information about the Approval Matrix is not present in the retrieved context.,1,The answer does not address the question about what the Approval Matrix is.,5,Retrieved: 1/1 expected sources,1,The model answer does not mention the current name of the document or provide any relevant information about the Approval Matrix.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about the maximum number of remote days allowed per week.,5,Retrieved: 1/1 expected sources,5,"Model answer covers all key points from the expected answer, including the remote work limit, probation period, and Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Thông tin về lỗi ERR-403-AUTH và cách xử lý không có trong các tài liệu được cung cấp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,The answer does not reference any information from the retrieved context and introduces a specific error code that is not mentioned.,1,The answer does not provide any information about the ERR-403-AUTH error or how to handle it.,5,No expected sources (abstain case) — full score,4,"The model answer is missing the suggestion to contact IT Helpdesk, which is a minor but relevant detail.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Thông tin về quy trình hoàn tiền khẩn cấp cho khách hàng VIP không có trong tài liệu đã cung cấp.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",3,"The answer correctly identifies that information about the emergency refund process for VIP customers is not present in the retrieved context, but it does not address the escalation process mentioned.",3,"The answer indicates a lack of information about the specific process for VIP customers, which partially addresses the question but does not provide relevant details.",5,Retrieved: 1/1 expected sources,4,The model answer addresses the lack of specific information but does not mention the standard processing time of 3-5 business days.,baseline_dense
